variable,category,label,type,unit,question
gender,General,Gender,categorical,Male/Female,What is your gender?
age,General,Age,integer,Years,What is your age?
handed,Physical,Handed,categorical,Right/Left/Ambidextrous,"Are you right-handed, left-handed, or ambidextrous?"
languages,General,Languages,integer,Number of Languages,In how many languages can you hold a conversation about a lot of every day things?
height,Physical,Height,integer,Centimetres,What is your height (nearest cm)?
rightfoot,Physical,Right Foot,integer,Centimetres,"What is the length of your right foot, without a shoe (nearest cm)?"
armspan,Physical,Arm Span,integer,Centimetres,What is your arm span (nearest cm)?
travel,Other,Transport,categorical,Means of Transport,What is the main way you usually get to school?
timetravel,Time,Travel Time,integer,Means of Travel,What is the main way you usually get to school?
reaction,Physical,Reaction,integer,Seconds,How fast is your reaction time (nearest second)?
techtv,Technology,TV,categorical,Yes/No,Do you have a TV?
techmp3,Technology,MP3,categorical,Yes/No,Do you have an mp3 player?
techinternet,Technology,Internet,categorical,Yes/No,Do you have internet access on your computer?
techbebo,Technology,Bebo,categorical,Yes/No,Do you have a Bebo account?
techmyspace,Technology,MySpace,categorical,Yes/No,Do you have a MySpace account?
techconsole,Technology,Console,categorical,Yes/No,Do you have a gaming console?
technone,Technology,None,categorical,Yes/No,I don't use any of the forms of technology listed.
importwarm,Importance,Global Warming,integer,Scale of 0-100,"On a scale of 0 to 100, How important is global warming to you?"
importpollution,Importance,Pollution,integer,Scale of 0-100,"On a scale of 0 to 100, How important is reducing pollution to you?"
importwater,Importance,Water,integer,Scale of 0-100,"On a scale of 0 to 100, How important is conserving water to you?"
importlifestyle,Importance,Lifestyle,integer,Scale of 0-100,"On a scale of 0 to 100, How important is a healthy lifestyle to you?"
timetaken,Time,Time Taken,integer,Minutes,How long does it take you to get to school (nearest minute)?
